stage,id,axis,title,authors,year,source_url,evidence,priority,model,parameters,webgpu_contact,cost,difficulty,visual_effect,assumption,falsification
CANDIDATE|SHORTLIST_15|FINAL_10,A01,Ocean core,Simulating Ocean Water,Jerry Tessendorf,2004,https://jtessen.people.clemson.edu/reports/papers_files/coursenotes2004.pdf,PRIMARY_LINK,A,h(k,t)=h0(k)exp(i omega t)+h0*(-k)exp(-i omega t); omega=sqrt(g|k|); Phillips spectrum,wind speed; fetch; directional spreading; peak wavelength; damping,main.js initial spectrum; shaders/spectral.wgsl,O(N log N),Medium,coherent swells with sharper short waves,existing dual cascade exposes matching parameters,visible tiling or incoherent high-frequency phase
CANDIDATE|SHORTLIST_15|FINAL_10,A02,Ocean core,Stable Fluids,Jos Stam,1999,https://graphics.stanford.edu/courses/cs448-01-spring/papers/stam.pdf,PRIMARY_FULLTEXT,B,backtrace advection plus implicit diffusion and projection,backtrace interpolation; viscosity; projection; dt,shaders/dynamic.wgsl stability control,O(N) plus solver,High,stable persistence and controllable damping,current HLL path remains primary,extra damping erases crest or requires too many substeps
CANDIDATE|SHORTLIST_15|FINAL_10,A03,Ocean core,Modeling Waves and Surf,Darwyn R Peachey,1986,https://doi.org/10.1145/15886.15893,ABSTRACT_PRIMARY,A,phase function plus steepness/depth wave profile plus breaking spray particles,phase; depth; steepness; emission; spray lifetime,wave-geometry.wgsl and spray.wgsl,O(N) plus particles,Medium,sharper plunging lip with attached spray,existing swept sheet remains primary,particles emit away from curvature or convergence
CANDIDATE|SHORTLIST_15,A04,Ocean core,Rapid Stable Fluid Dynamics for Computer Graphics,Nick Foster and Dimitri Metaxas,1996,https://dblp.org/rec/conf/siggraph/FosterM96.html,INDEX_ONLY,C,explicit Eulerian update with conditional timestep stability,CFL; grid spacing; pressure; damping,dynamic.wgsl dt budget,O(N) per step,Medium,crisper local bores,used as a stability baseline only,required dt breaks mobile budget
CANDIDATE|SHORTLIST_15|FINAL_10,A05,Ocean core,Whitecap Phenomenology for Ocean Surface Simulation,Jerry Tessendorf; Colin Reinhardt; Liang Gao,2020,https://jtessen.people.clemson.edu/gilligan/html/whitecap_fraction.pdf,PRIMARY_LINK,A,lambda_min(Hessian)<T and W=P(lambda_min<T),minimum Hessian eigenvalue; wind; fraction; decay,resolve.wgsl foam source and advected decay,O(N) stencil,Medium,foam tied to compression rather than height threshold,threshold is calibrated to this scene scale,foam flashes or covers calm water
CANDIDATE|SHORTLIST_15|FINAL_10,A06,Ocean core,Wavelet Turbulence for Fluid Simulation,Theodore Kim; Nils Thurey; Doug James; Markus Gross,2008,https://www.cs.cornell.edu/~tedkim/WTURB/wavelet_turbulence.pdf,PRIMARY_FULLTEXT,B,low and high frequency energy separation with temporal coherence,band energy; scale; coherence; amplitude,dynamic.wgsl and scene.wgsl detail bands,auxiliary O(N),High,filamentary crest detail without moving the main crest,only bounded 2D bands are used,detail drifts or aliases into tiles
CANDIDATE|SHORTLIST_15,A07,Ocean core,Position Based Fluids,Miles Macklin and Matthias Muller,2013,https://mmacklin.com/pbf_sig_preprint.pdf,PRIMARY_LINK,C,iterative density constraints for particle positions,rest density; constraint iterations; radius,secondary particle reference only,High,stable clustered secondary particles,fixed buffer cannot support neighbor iterations,particle cost exceeds visual gain
CANDIDATE|SHORTLIST_15,A08,Ocean core,SPH Fluids in Computer Graphics,Markus Ihmsen et al.,2014,https://diglib.eg.org/server/api/core/bitstreams/132893a6-d728-4f8d-afce-d60c4c12517d/content,SECONDARY_SURVEY,C,SPH density pressure and secondary foam bubble spray particles,kernel radius; density error; reconstruction,particle lifecycle reference only,High,better material separation,full SPH is out of scope,source is mistaken for runtime evidence
CANDIDATE,A09,Ocean core,Fluid Simulation for Computer Graphics,Randima Fernando Bridson,2008,https://www.cs.ubc.ca/~rbridson/fluidsimulation/,REFERENCE_BOOK,C,stable numerical building blocks and free-surface treatment,pressure; collision; advection; timestep,dynamic.wgsl review reference,High,better boundary reasoning,book guidance is adapted not copied,method cannot be mapped to current buffer model
CANDIDATE,A10,Ocean core,An Overview of Fluid Simulation Methods,Matthias Ihmsen et al.,2014,https://diglib.eg.org/server/api/core/bitstreams/132893a6-d728-4f8d-afce-d60c4c12517d/content,SECONDARY_SURVEY,C,method comparison across Eulerian and particle solvers,solver family; stability; surface method,architecture decision reference,High,clearer solver tradeoff,comparison does not prove suitability,selected method lacks measurable cost
